Title,Intervention Area
"Perceptions of drones, digital adherence monitoring technologies and educational videos for tuberculosis control in remote Madagascar: a mixed-method study protocol",Digital Information Services
Performance evaluation of the enterprise development for global competitiveness (compete) project : final evaluation report,Digital Finance
Perspectives for Supranational DIgital Regulation in Developing Countries,Data Privacy
"Perspectives of Teacher Trainees' Preparedness and Adoption on Integration of ICT in Public Teacher Training Colleges in Kenya, 2020",Upskilling/ Capacity Building
"Perspectives, Experiences, and Practices in the Use of Digital Information Technologies in the Management of Depression and Alcohol Use Disorder in Health Care Systems in Colombia",Digital Information Services
Philippines Digital Economy Report 2020 : A Better Normal Under COVID-19 - Digitalizing the Philippine Economy Now (English),Digital Finance
Philippines Digital Economy Report 2020 : A Better Normal Under COVID-19 - Digitalizing the Philippine Economy Now (English),Digital Infrastructure Development
"Phone-based technology for agricultural information delivery, 2020",Digital Infrastructure Development
"Phone-based technology for agricultural information delivery, 2020",Digital Infrastructure Development
"Phone-based technology for agricultural information delivery, 2020",Digital Inclusion
"Phone-based technology for agricultural information delivery, 2020",Digital Inclusion
"PIERI-20165 Information, Price, and Barriers to Adoption and Usage of Mobile Money: Evidence from a Field Experiment in The Gambia",Digital Finance
"PIERI-20165 Information, Price, and Barriers to Adoption and Usage of Mobile Money: Evidence from a Field Experiment in The Gambia",Digital Inclusion
"Potentialities and challenges of digital health in psychiatry in Kashmir, India",Digital Information Services
Practical Lessons for Phone-Based Assessments of LearningLessons for Phone-Based Assessments of Learning,Data Systems & Development
Predicting the intention to use mobile banking in India,Digital Finance
"Preparing Public Pedagogies with ICT: The Case of Pesticides and Popular Education in Brazil, 2018",Upskilling/ Capacity Building
"Preparing Public Pedagogies with ICT: The Case of Pesticides and Popular Education in Brazil, 2018",Upskilling/ Capacity Building
"Preparing Public Pedagogies with ICT: The Case of Pesticides and Popular Education in Brazil, 2018",Upskilling/ Capacity Building
"Preparing Public Pedagogies with ICT: The Case of Pesticides and Popular Education in Brazil, 2018",Upskilling/ Capacity Building
"Preventin, disruption and deterrence of online child sexual exploitation and abuse",Child Protection
Preventing Child Sexual Abuse: A Systematic Review of Interventions and Their Efficacy in Developing Countries,Child Protection
Preventing Child Sexual Abuse: A Systematic Review of Interventions and Their Efficacy in Developing Countries,Child Protection
Primary Education Stipends in Bangladesh: Do Mothers Prefer Digital Payments over Cash?,Digital Finance
Primary Education Stipends in Bangladesh: Do Mothers Prefer Digital Payments over Cash?,Policy & Regulation or Digital Services
Primary Education Stipends in Bangladesh: Do Mothers Prefer Digital Payments over Cash?,Digital Inclusion
Privacy perception in location-based services for mobile devices in the university community of the north coast of Colombia,Data Privacy
"Private-sector investment opportunities in primary healthcare in Kenya: Implementation roadmap, 2018",Data Systems & Development
"Promoting African digital multinationals for a more inclusive post-pandemic future, 2020",Digital Inclusion
Promoting Digital Literacy Skill for Students through Improved School Curriculum,Digital Literacy
Promoting Digital Literacy Skill for Students through Improved School Curriculum,Child Protection
Protecting agricultural workers through remote COVID-19 awareness campaigns in Pakistan,Digital Information Services
Providing digital reference services: a Namibian case study,Digital Information Services
Providing digital reference services: a Namibian case study,Upskilling/ Capacity Building
Providing Free Internet Connectivity to Improve Financial and Economic Outcomes in Kenya,Data Systems & Development
Providing Free Internet Connectivity to Improve Financial and Economic Outcomes in Kenya,Data Systems & Development
Providing Free Internet Connectivity to Improve Financial and Economic Outcomes in Kenya,Digital Inclusion
Providing Free Internet Connectivity to Improve Financial and Economic Outcomes in Kenya,Digital Inclusion
Public Financial Management and the Digitalization of Payments,Digital Finance
Public Financial Management and the Digitalization of Payments,Digital Inclusion
"Public Projects for Digital Inclusion of Micro and Small Enterprises in Brazil, 2020",Digital Inclusion
Pushing the Next Level: Investigating Digital Content Creation in India,Digital Finance
"Quantum Technologies: Digital Transformation, Social Impact, and Cross-sector Disruption",Cybersecurity
Rapid Account Opening in a Pandemic,Digital Finance
Realizing the potential of digitization to improve agri-food system – Proposing a new International Digital Council for Food and Agriculture,Policy & Regulation or Digital Services
"Reassessing Expectations for Blockchain and Development, 2018",Data Systems & Development
"Reassessing Expectations for Blockchain and Development, 2018",Data Systems & Development
"Rebuilding the Yanacona Home in the City: The Role of Digital Technologies for Place-Making Practices of Displaced Indigenous Communities in Bogota, Colombia, 2020",Digital Inclusion
Recommendations to Leverage E-Commerce During the COVID-19 Crisis (English),Digital Finance
Recommendations to Leverage E-Commerce During the COVID-19 Crisis (English),Digital Finance
Reducing Job Search Costs with an SMS-based Messaging App in Rural Tanzania,Digital Literacy
Reducing Job Search Costs with an SMS-based Messaging App in Rural Tanzania,Digital Literacy
Reducing Job Search Costs with an SMS-based Messaging App in Rural Tanzania,Digital Inclusion
Reducing Job Search Costs with an SMS-based Messaging App in Rural Tanzania,Digital Inclusion
"Relationship between Teacher Educators' Attitude towards Computers and their Level of ICT Integration in Instruction in Primary Teacher Training Colleges in Kenya, 2019",Digital Literacy
"Relationship between Teacher Educators' Attitude towards Computers and their Level of ICT Integration in Instruction in Primary Teacher Training Colleges in Kenya, 2019",Upskilling/ Capacity Building
Resilient Industries : Competitiveness in the Face of Disasters (English),Digital Information Services
Resilient Industries : Competitiveness in the Face of Disasters (English),Digital Information Services
Resilient Industries : Competitiveness in the Face of Disasters (English),Digital Information Services
Risk sharing and transaction costs: a replication study of evidence from Kenya’s mobile money revolution,Digital Finance
Role of “perceived risks” in adopting mobile government (m-government) services in India,Digital Finance
Saving for Multiple Financial Needs: Evidence from Lockboxes and Mobile Money in Malawi,Digital Finance
Scaling Digital Learning in Kenya,Digital Literacy
Scaling Digital Learning in Kenya,Upskilling/ Capacity Building
Self-Help Group Members as Banking Agents for Deepening Financial Inclusion (English),Digital Finance
Self-Help Group Members as Banking Agents for Deepening Financial Inclusion (English),Digital Finance
Self-Help Group Members as Banking Agents for Deepening Financial Inclusion (English),Digital Inclusion
Self-Help Group Members as Banking Agents for Deepening Financial Inclusion (English),Digital Inclusion
Setting the Gender Agenda for Communication Policy: New Proposals from the Global Alliance on Media and Gender,Digital Literacy
Setting the Gender Agenda for Communication Policy: New Proposals from the Global Alliance on Media and Gender,Digital Inclusion
Sexual Exploitation and Abuse of Children Online in the Phillipines: A Review of Online News and Articles,Child Protection
Sexual Exploitation and Abuse of Children Online in the Phillipines: A Review of Online News and Articles,Child Protection
Shaping citizen's freedom of social media interaction in Tanzania: The role of city policy experts in digital policy-making,Policy & Regulation or Digital Services
"Short-Term Impacts of Improved Access to Mobile Savings, with and without Business Training: Experimental Evidence from Tanzania",Digital Finance
"Short-Term Impacts of Improved Access to Mobile Savings, with and without Business Training: Experimental Evidence from Tanzania",Digital Finance
"Short-Term Impacts of Improved Access to Mobile Savings, with and without Business Training: Experimental Evidence from Tanzania",Digital Inclusion
"Short-Term Impacts of Improved Access to Mobile Savings, with and without Business Training: Experimental Evidence from Tanzania",Digital Inclusion
Simplifying the tax filing of small businesses in Uganda,E-government
"Sites of Exception: Gender Violence, Digital Activism, and Nirbhaya's Zone of Anomie in India",Digital Infrastructure Development
"Sites of Exception: Gender Violence, Digital Activism, and Nirbhaya's Zone of Anomie in India",Digital Inclusion
"SMS Behaviour Change Communication and eVoucher Interventions to Increase Uptake of Cervical Cancer Screening in the Kilimanjaro and Arusha Regions of Tanzania: A Randomised, Double-blind, Controlled Trial of Effectiveness",Digital Information Services
"SMS Text Message Reminders to Improve Infant Vaccination Coverage in Guatemala: A Pilot Randomized Controlled Trial, 2018",Data Systems & Development
Social and Behavior Change Communication Interventions Delivered Face-to-Face and by a Mobile Phone to Strengthen Vaccination Uptake and Improve Child Health in Rural India: Randomized Pilot Study,Digital Information Services
Social isolation and disrupted privacy: impacts of covid-19 on adolescent girls in humanitarian contexts,Child Protection
Social isolation and disrupted privacy: impacts of covid-19 on adolescent girls in humanitarian contexts,Child Protection
Social isolation and disrupted privacy: impacts of covid-19 on adolescent girls in humanitarian contexts,Digital Inclusion
Social isolation and disrupted privacy: impacts of covid-19 on adolescent girls in humanitarian contexts,Digital Inclusion
Social Media and Journalism in Ethiopia - Setting the Scene for Reform,Policy & Regulation or Digital Services
Social Media Interventions for Precision Public Health: Promises and Risks,Digital Information Services
Socio-cultural contextual factors that contribute to the uptake of a mobile health intervention to enhance maternal health care in rural Senegal,Digital Information Services
Socio-cultural contextual factors that contribute to the uptake of a mobile health intervention to enhance maternal health care in rural Senegal,Digital Information Services
Socio-cultural contextual factors that contribute to the uptake of a mobile health intervention to enhance maternal health care in rural Senegal,Digital Inclusion
Socio-cultural contextual factors that contribute to the uptake of a mobile health intervention to enhance maternal health care in rural Senegal,Digital Inclusion
South Africa Digital Economy Diagnostic,E-government
"South Africa's Quest for Smart Cities: Privacy Concerns of Digital Natives of Cape Town, South Africa",Data Privacy
"South Africa's Quest for Smart Cities: Privacy Concerns of Digital Natives of Cape Town, South Africa",Data Systems & Development
Spatial|Data Justice: Mapping and Digitised Strolling against Moral Police in Iran,Policy & Regulation or Digital Services
Spatial|Data Justice: Mapping and Digitised Strolling against Moral Police in Iran,Policy & Regulation or Digital Services
Spatial|Data Justice: Mapping and Digitised Strolling against Moral Police in Iran,Data Systems & Development
Spatial|Data Justice: Mapping and Digitised Strolling against Moral Police in Iran,Data Systems & Development
SPRING Summative Programme Performance Evaluation,Digital Finance
SPRING Summative Programme Performance Evaluation,Digital Finance
SPRING Summative Programme Performance Evaluation,Digital Finance
SPRING Summative Programme Performance Evaluation,Digital Finance
SPRING Summative Programme Performance Evaluation,Digital Inclusion
SPRING Summative Programme Performance Evaluation,Digital Inclusion
SPRING Summative Programme Performance Evaluation,Digital Inclusion
SPRING Summative Programme Performance Evaluation,Digital Inclusion
Stakeholder involvement in Union Digital Centres in Bangladesh,E-government
Stakeholder involvement in Union Digital Centres in Bangladesh,Digital Information Services
Stakeholder involvement in Union Digital Centres in Bangladesh,Policy & Regulation or Digital Services
"State of Financial Inclusion of Women in Pakistan (English), 2018",Digital Inclusion
"State of Financial Inclusion of Women in Pakistan (English), 2018",Digital Inclusion
State Policy of Consumer Protection in the Digital Financial Services Market in Ukraine,Policy & Regulation or Digital Services
State Policy of Consumer Protection in the Digital Financial Services Market in Ukraine,Digital Finance
"Stemming Learning Loss During the Pandemic: A Rapid Randomized Trial of a Low Tech Intervention in Botswana, 2020",Digital Inclusion
STRATEGIC SYNTHESIS OF PROGRAM LITERATURE ON DEVELOPMENT IN JORDAN,Digital Finance
Strategic Synthesis of Program Literature on Development in Jordan,Digital Information Services
Strategic Synthesis of Program Literature on Development in Jordan,Digital Information Services
Strategic Synthesis of Program Literature on Development in Jordan,Digital Information Services
Strategic Synthesis of Program Literature on Development in Jordan,Digital Finance
Strategic Synthesis of Program Literature on Development in Jordan,Digital Finance
Strategies for Supporting Inclusive Innovation,E-government
Strategies for Supporting Inclusive Innovation,Digital Inclusion
"Strengthening the Skills Pipeline for Statistical Capacity Development to Meet the Demands of Sustainable Development: Implementing a Data Fellowship Model in Colombia, 2021",Upskilling/ Capacity Building
"Study on Micro, Small, and Medium Enterprise Participation in the Digital Economy in ASEAN: Literature Review",Digital Finance
"Study on Transport and Logistics Value-Added and Manufacturing Services, 2019",Digital Infrastructure Development
Supporting Innovation and the Use of Technologies in Accountability Initiatives: Lessons from Making All Voices Count,E-government
Supporting Women Throughout the Coronavirus (Covid-19) Emergency Response and Economic Recovery,Digital Finance
"Sustainability, FinTech and Financial Inclusion",Digital Finance
"Sustainability, FinTech and Financial Inclusion",Digital Inclusion
"Systematic Evaluation of Platform Work Against Decent Work Standards: Development of a New Framework and Application in the Global South, 2020",Data Systems & Development
Tackling Cybercrime to Unleash Developing Countries' Digital Potential,Cybersecurity
"Tackling poverty and hunger through digital innovation, 2018",Digital Infrastructure Development
"Tackling poverty and hunger through digital innovation, 2018",Digital Inclusion
"Taking Management Digital : Lessons from the Development of an Innovative Management Information System for Small Businesses in Ethiopia, 2018",Data Systems & Development
Taming the Beast: Harnessing Blockchains in Developing Country Governments,Policy & Regulation or Digital Services
Taming the Beast: Harnessing Blockchains in Developing Country Governments,Digital Inclusion
Taming the Strange Beasts: Servicing and the Future of PAYGo,Digital Finance
Targeting Development Aid with Machine Learning and Mobile Phone Data∗,Digital Finance
Tax-motivated transfer mispricing in South Africa: Direct evidence using transaction data,E-government
"Teachers Attitude Towards Integrating ICT in Classroom Instruction in Teaching and Learning Biology in Secondary Schools in the Southern Region, Eritrea",Digital Literacy
"Teachers Attitude Towards Integrating ICT in Classroom Instruction in Teaching and Learning Biology in Secondary Schools in the Southern Region, Eritrea",Upskilling/ Capacity Building
"Teaching conceptions on the use of digital technologies as a teaching resource in physical education in public schools of Minas Gerais, Brazil, 2019",Digital Inclusion
"Technical report : enhanced supervision approaches : phase 1 landscape analysis findings report, 2019",Data Systems & Development
"Testing the validity and feasibility of using a mobile phone-based method to assess the strength of implementation of family planning programs in Malawi, 2020",Data Systems & Development
Testing Innovative Approaches To Extension In Cambodia: Using Technology And Incentives To Improve The PADEE And ASPIRE Projects,Digital Information Services
Testing Innovative Approaches To Extension In Cambodia: Using Technology And Incentives To Improve The PADEE And ASPIRE Projects,Digital Inclusion
Testing the validity and feasibility of using a mobile phone-based method to assess the strength of implementation of family planning programs in Malawi,Digital Information Services
Testing the Waters: Digital Payments for Water and Sanitation,Digital Finance
"The formation of interstate and cross-border scientific-educational and innovative spaces between Ukraine and the European Union member states in the digital economy, 2019",Digital Infrastructure Development
"The Impact of the Belt and Road Initiative Investment in Digital Connectivity and Information and Communication Technologies on Achieving the SDGs, 2019",Digital Infrastructure Development
The 4Cs: Classifying Online Risk to Children,Child Protection
"The Affordability Report (2020), 2020",Digital Inclusion
"The Contribution of ICTs to Sustainable Urbanization and Health in Urban Areas in Cameroon, 2018",Data Systems & Development
The cyber frontier and digital pitfalls in the Global South,Cybersecurity
The Data Delusion,Data Privacy
The Data Delusion,Policy & Regulation or Digital Services
The development of digital infrastructure and blockchain technologies in Ukraine,Digital Infrastructure Development
The Development of Mobile Money and the Politics of Financial Inclusion in Tanzania,Digital Finance
The Development of Mobile Money and the Politics of Financial Inclusion in Tanzania,Digital Infrastructure Development
The Development of Mobile Money and the Politics of Financial Inclusion in Tanzania,Digital Inclusion
"The digital carceral: Media infrastructure, digital cultures and state surveillance in post-Arab Spring Morocco",Digital Infrastructure Development
"The digital carceral: Media infrastructure, digital cultures and state surveillance in post-Arab Spring Morocco",Policy & Regulation or Digital Services
"The digital carceral: Media infrastructure, digital cultures and state surveillance in post-Arab Spring Morocco",Data Privacy
"The digital divide in India: use and non-use of ICT by rural and urban students, 2018",Digital Inclusion
The Digital Economy in Southeast Asia: Strengthening the Foundations for Future Growth,Digital Infrastructure Development
The Digital Economy in Southeast Asia: Strengthening the Foundations for Future Growth,Digital Finance
The Digital Payments in Liberia,Digital Finance
"The Digitalisation of African Agriculture Report 2018-2019, 2019",Data Systems & Development
The Effect of Covid-19 on Education in Africa and its Implications for the Use of Technology,E-government
"The Effect of Digital Media on The Younger Minds During the Pandemic: A Study in Pakistan, Jordan and Syria",Digital Information Services
"The effect of librarians' digital skills on technology acceptance in academic libraries in Jordan, 2020",Upskilling/ Capacity Building
The Future Is Mobile: Financial Inclusion and Technological Innovation in the Emerging World,Digital Finance
The Future Is Mobile: Financial Inclusion and Technological Innovation in the Emerging World,Digital Inclusion
The Future of G2P Payments: Towards an integrated infrastructure in Bangladesh,E-government
The Future of G2P Payments: Towards an integrated infrastructure in Bangladesh,Digital Finance
"The Future of Work: Findings of Research Commissioned by the Oxfam ‘Empower Youth for Work’ Program, 2020",Data Systems & Development
"The Future of Work: Findings of Research Commissioned by the Oxfam ‘Empower Youth for Work’ Program, 2020",Data Systems & Development
"The Future We Aim for: Towards a “360 Resilience” Development Paradigm for the Caribbean, 2019",Upskilling/ Capacity Building
"The Future We Aim for: Towards a “360 Resilience” Development Paradigm for the Caribbean, 2019",Upskilling/ Capacity Building
"The Future We Aim for: Towards a “360 Resilience” Development Paradigm for the Caribbean, 2019",Upskilling/ Capacity Building
The Gender Labor Market Gap in the Digital Economy,Digital Literacy
The Gender Labor Market Gap in the Digital Economy,Digital Literacy
The Hidden Shadow of Coronavirus on Education in Developing Countries,Child Protection
The Hidden Shadow of Coronavirus on Education in Developing Countries,Data Privacy
"The Humanitarian Metadata Problem: ""Doing No Harm"" in the Digital Era",Cybersecurity
The Impact of a Digital Credit for Small-Scale Farmers in Ghana,Digital Finance
The Impact of a Digital Credit for Small-Scale Farmers in Ghana,Digital Finance
The Impact of a Digital Credit for Small-Scale Farmers in Ghana,Digital Inclusion
The Impact of a Digital Credit for Small-Scale Farmers in Ghana,Digital Inclusion
The Impact of a Women-Specific Credit Scoring Model on Women’s Access to Credit in the Dominican Republic,Digital Finance
The Impact of a Women-Specific Credit Scoring Model on Women’s Access to Credit in the Dominican Republic,Digital Finance
The Impact of a Women-Specific Credit Scoring Model on Women’s Access to Credit in the Dominican Republic,Digital Inclusion
The Impact of a Women-Specific Credit Scoring Model on Women’s Access to Credit in the Dominican Republic,Digital Inclusion
The Impact of Computer Assisted Learning on Rural Taiwanese Children: Evidence from a Randomized Experiment,E-government
The Impact of Computer Assisted Learning on Rural Taiwanese Children: Evidence from a Randomized Experiment,Data Systems & Development
"The impact of Internet use on adolescent learning outcomes: evidence from rural China, 2021",Digital Inclusion
"The Impact of Mobile Money on the Financial Performance of the SMEs in Douala, Cameroon",Digital Finance
The Impact of Personalized SMS Messages to Parents on Student Achievement in Kenya,Data Systems & Development
The Impact of Personalized SMS Messages to Parents on Student Achievement in Kenya,Digital Inclusion
The Impact of Rapid Technological Change on Sustainable Development,Policy & Regulation or Digital Services
"The Impact of Reliable Electricity on Maternal and Newborn Healthcare in Rural Uganda, 2019",Digital Infrastructure Development
"The Impact of the Belt and Road Initiative Investment in Digital Connectivity and Information and Communication Technologies on Achieving the SDGs, 2019",Digital Inclusion
The Impact of the Digital Health Interventions in Curbing COVID-19 in Zimbabwe,Digital Information Services
"The Impacts Of Interactive Smartboards On Learning Achievement In Senegalese Primary Schools, 2019",Digital Inclusion
The Mediation of Hope: Digital Technologies and Affective Affordances Within Iraqi Refugee Households in Jordan,Digital Information Services
The Mediation of Hope: Digital Technologies and Affective Affordances Within Iraqi Refugee Households in Jordan,Digital Inclusion
"The Mobile Gender Gap Report 2018, 2018",Digital Inclusion
The moderating role of cultural factors in the adoption of mobile banking in Brazil,Digital Finance
The MomConnect helpdesk: how an interactive mobile messaging programme is used by mothers in South Africa,Digital Information Services
The MomConnect helpdesk: how an interactive mobile messaging programme is used by mothers in South Africa,E-government
The New Economy of Africa: Opportunities for Nigeria’s Emerging Technology Sector,Data Systems & Development
The New Economy of Africa: Opportunities for Nigeria’s Emerging Technology Sector,Digital Infrastructure Development
The New Economy of Africa: Opportunities for Nigeria’s Emerging Technology Sector,Digital Infrastructure Development
The New Economy of Africa: Opportunities for Nigeria’s Emerging Technology Sector,Data Systems & Development
The New Economy of Africa: Opportunities for Nigeria’s Emerging Technology Sector,Digital Inclusion
The New Economy of Africa: Opportunities for Nigeria’s Emerging Technology Sector,Digital Inclusion
The Personal Data Protection of Internet Users in Indonesia,Data Privacy
The Personal Data Protection of Internet Users in Indonesia,Cybersecurity
The Puzzle of Financial Inclusion in Mexico: A Closeable Gap?,Digital Finance
The Regulation of Digital Trade : Key Policies and International Trends (English),Policy & Regulation or Digital Services
The Relative Effectiveness of Teachers and Learning Software: Evidence from a Field Experiment in El Salvador,E-government
"The Role of Digital Technology in English Language Teaching in Azerbaijan, 2019",Digital Inclusion
The Role of Financial Services in Youth Education and Employment,Digital Finance
The Role of Financial Services in Youth Education and Employment,Digital Inclusion
The Trade: (Cyber)Security Dilemma and Its Impact on Global Cybersecurity Governance,Cybersecurity
"The Urban Data Justice Case Study Collection, 2020",Data Systems & Development
The USAID Economic Policy Options for Recovery and Resilience,Policy & Regulation or Digital Services
The USAID Economic Policy Options for Recovery and Resilience,Digital Infrastructure Development
The Use of Agents by Digital Financial Services Providers,Digital Finance
The Use of Agents by Digital Financial Services Providers,Digital Inclusion
"The Utility Regulator's Role in Promoting Cybersecurity: Resilience, Risk Assessment, and Standards",Cybersecurity
Thin Business Networks and Supply-Chain Frictions: The Impact of a Mobile Phone Networking Application on Small Businesses in Tanzania,Digital Information Services
"Too Fast, Too Furious? Digital Credit Delivery Speed and Repayment Rates",Digital Finance
"Toolkit for Researching Women's Internet Access and Use, 2018",Digital Inclusion
"Toward Universal Financial Inclusion in China : Models, Challenges, and Global Lessons",Digital Finance
"Toward Universal Financial Inclusion in China : Models, Challenges, and Global Lessons",Digital Inclusion
"Towards A More Gender-Inclusive Open Source Community, 2018",Digital Inclusion
Towards an inclusive digital literacy framework for digital India,Digital Literacy
Towards an inclusive digital literacy framework for digital India,Digital Literacy
Towards an inclusive digital literacy framework for digital India,Digital Literacy
"Towards Real-Time Governance: Using Digital Feedback to Improve Service, Voice, and Accountability",E-government
"Towards Real-Time Governance: Using Digital Feedback to Improve Service, Voice, and Accountability",Digital Information Services
"Trade and Gender Linkages: The Gender Impact of Technological Upgrading in Agriculture, 2020",Digital Inclusion
"Trade and Gender Linkages: The Gender Impact of Technological Upgrading in Agriculture, 2020",Digital Inclusion
Transforming a digital landscape: 7 years of learnings from the mSTAR project,Digital Finance
Transforming a digital landscape: 7 years of learnings from the mSTAR project,Digital Infrastructure Development
Transforming a digital landscape: 7 years of learnings from the mSTAR project,Digital Inclusion
"Transition to the digital economy: technological capabilities as drivers of productivity, 2020",Digital Infrastructure Development
Trends in Online Child Sexual Abuse Material,Child Protection
Trust: mediator between mobile money adoption and usage and financial inclusion,Digital Finance
"Two-Way Short Message Service (SMS) Communication May Increase Pre-Exposure Prophylaxis Continuation and Adherence Among Pregnant and Postpartum Women in Kenya, 2021",Data Systems & Development
Ukraine - e-Government Assessment (English),E-government
"Understanding the Benefits, Costs, and Challenges of the National Identification System in Uganda",E-government
Understanding the Development Implications of Online Outsourcing: A Study of Digital Labour Platforms in Pakistan,Data Systems & Development
Understanding the Development Implications of Online Outsourcing: A Study of Digital Labour Platforms in Pakistan,Policy & Regulation or Digital Services
"Understanding women's mobile phone use in rural Kenya: An affordance-based approach, 2018",Digital Infrastructure Development
"Understanding women's mobile phone use in rural Kenya: An affordance-based approach, 2018",Digital Infrastructure Development
"Understanding women's mobile phone use in rural Kenya: An affordance-based approach, 2018",Digital Infrastructure Development
"Understanding women's mobile phone use in rural Kenya: An affordance-based approach, 2018",Digital Inclusion
"Understanding women's mobile phone use in rural Kenya: An affordance-based approach, 2018",Digital Inclusion
"Understanding women's mobile phone use in rural Kenya: An affordance-based approach, 2018",Upskilling/ Capacity Building
"Understanding women's mobile phone use in rural Kenya: An affordance-based approach, 2018",Upskilling/ Capacity Building
"Unequal Ventures: Results from a Baseline Study of Gender and Entrepreneurship in East Java, Indonesia, 2018",Data Systems & Development
"Unequal Ventures: Results from a Baseline Study of Gender and Entrepreneurship in East Java, Indonesia, 2018",Data Systems & Development
"Unequal Ventures: Results from a Baseline Study of Gender and Entrepreneurship in East Java, Indonesia, 2018",Digital Inclusion
"Unequal Ventures: Results from a Baseline Study of Gender and Entrepreneurship in East Java, Indonesia, 2018",Digital Inclusion
UNESCO’s Internet universality indicators: a framework for assessing Internet development,Digital Information Services
Universal National Identity Card (UNID) and its Modernization on the Context of Digital Bangladesh,E-government
Unleashing E-Commerce for South Asian Integration,Digital Infrastructure Development
Unleashing the Power of Digital on Farms in Russia - and Seeking Opportunities for Small Farms (English),Digital Finance
Updating Infrastructure Regulation for The 21st Century in Latin America and the Caribbean,Policy & Regulation or Digital Services
Updating Infrastructure Regulation for The 21st Century in Latin America and the Caribbean,E-government
Urban Slums in a Datafying Milieu: Challenges for Data-Driven Research Practice,Policy & Regulation or Digital Services
Urban Slums in a Datafying Milieu: Challenges for Data-Driven Research Practice,Policy & Regulation or Digital Services
Urban Slums in a Datafying Milieu: Challenges for Data-Driven Research Practice,Data Systems & Development
Urban Slums in a Datafying Milieu: Challenges for Data-Driven Research Practice,Data Systems & Development
USAID Kosovo Compete - Market System and Constraints Analysis,Digital Finance
USAID Kosovo Compete - Market System and Constraints Analysis,Data Systems & Development
USAID Kosovo Compete_Sector Assessment_Final,E-government
USAID Kosovo Compete_Sector Assessment_Final,Digital Information Services
USAID LENS Digital Finance Country Report - Jordan,Digital Finance
USAID LENS Purchase Order Finance Market Research in Jordan,Digital Finance
"USAID Lens Tanmeyah Strategy & Roadmap for the Microfinance Sector in Jordan (2019-2022), 2019",Digital Inclusion
USAID Liberia connectivity case studies : the promise for internet connectivity for healthcare and education in Liberia,E-government
USAID Liberia connectivity case studies : the promise for internet connectivity for healthcare and education in Liberia,E-government
USAID Liberia connectivity case studies : the promise for internet connectivity for healthcare and education in Liberia,E-government
USAID Small and Medium Enterprise Activity (SMEA): Investment Policy Framework for Sindh,E-government
USAID Small and Medium Enterprise Activity (SMEA): Investment Policy Framework for Sindh,Digital Finance
"USAID/Cambodia One Window Service Offices - Platform to Enhance Accountability (OWSO-PEA) Landscape Report of One Window Service Offices and Civic Technologies in Cambodia, December 2019",E-government
"USAID/Cambodia One Window Service Offices - Platform to Enhance Accountability (OWSO-PEA) Landscape Report of One Window Service Offices and Civic Technologies in Cambodia, December 2019",Digital Inclusion
USAID/Egypt private sector landscape assessment,Policy & Regulation or Digital Services
USAID/Egypt private sector landscape assessment,Digital Infrastructure Development
"USAID/South Africa tuberculosis South Africa project (TBSAP) : midterm evaluation report, 2020",Data Systems & Development
"USAID/South Africa tuberculosis South Africa project (TBSAP) : midterm evaluation report, 2020",Upskilling/ Capacity Building
Use of a mobile application for Ebola contact tracing and monitoring in northern Sierra Leone: a proof-of-concept study,Digital Information Services
Use of a mobile application for Ebola contact tracing and monitoring in northern Sierra Leone: a proof-of-concept study,E-government
"Use of Digital Technology among Adolescents Attending Schools in Bissau, Guinea-Bissau, 2020",Digital Infrastructure Development
Use of digital technology among adolescents in the adult entertainment sector in Nepal,Child Protection
"# [Use of interactive voice response technology to address barriers to fistula care in Nigeria and Uganda, *2020*](https://deem.digitaldevelopment.org/#/doc/560)",Data Systems & Development
User Perspective on Usages and Privacy of eHealth Systems in Bangladesh: A Dhaka based Survey,Data Privacy
User Perspective on Usages and Privacy of eHealth Systems in Bangladesh: A Dhaka based Survey,E-government
Using AI and digital data to target cash transfers in Togo,E-government
Using Digital Tools to Expand Access to Agricultural Insurance,Digital Finance
"Using Geospatial Data and Analytics to Guide Reproductive, Maternal, Newborn, Child and Adolescent Health Programs, 2019",Data Systems & Development
"Using mobile phone data helps estimate community-level food insecurity: Findings from a multi-year panel study in Nepal, 2020",Data Systems & Development
"Using mobile phone data to reveal risk flow networks underlying the HIV epidemic in Namibia, 2021",Data Systems & Development
Using Satellite Data in Financial Inclusion,Digital Finance
Using Satellite Data in Financial Inclusion,Digital Finance
Using Technology to Document Violations: Enabling Sex-worker Communities to Document Violence Against Them in India and Cambodia,Policy & Regulation or Digital Services
Using Technology to Document Violations: Enabling Sex-worker Communities to Document Violence Against Them in India and Cambodia,Policy & Regulation or Digital Services
Utilization of Digital Literacy in Retirement Planning Among Ghanaian Formal and Informal Sector Workers,Digital Literacy
Utilization of Digital Literacy in Retirement Planning Among Ghanaian Formal and Informal Sector Workers,Digital Literacy
Utilization of Digital Literacy in Retirement Planning Among Ghanaian Formal and Informal Sector Workers,Digital Inclusion
Utilization of Digital Literacy in Retirement Planning Among Ghanaian Formal and Informal Sector Workers,Digital Inclusion
"Utilization of the Digital Information Resources and Services Provided in the Engineering College Libraries in Karnataka, India",Digital Information Services
"Vaccines Meet Big Data: State-of the-Art and Future Prospects. From the Classical 3is (""Isolate-Inactivate-Inject"") Vaccinology 1.0 to Vaccinology 3.0, Vaccinomics, and Beyond: A Historical Overview, 2018",Data Systems & Development
